case	year	chamber	District	prez_party	mid_penalty	Dem	Repub	incumbent
1	2016	HS	1	1	0	0	197166	-1
2	2016	SEN	1	1	0	61142	465610	-1
3	2016	HS	2	1	0	32781	0	1
4	2016	HS	3	1	0	109521	178787	-1
5	2016	SEN	3	1	0	299402	0	0
6	2016	HS	4	1	0	176279	100170	0
7	2016	HS	5	1	0	32881	181725	-1
8	2016	SEN	5	1	0	48098	225317	1
9	2016	HS	6	1	0	35590	238828	0
10	2016	HS	7	1	0	211797	90027	1
11	2016	SEN	7	1	0	329291	168113	1
12	2016	HS	8	1	0	104552	78848	1
13	2016	HS	9	1	0	208230	96009	1
14	2016	SEN	9	1	0	472266	0	0
15	2016	HS	10	1	0	280414	0	1
16	2016	HS	11	1	0	110804	62896	1
17	2016	SEN	11	1	0	418924	0	0
18	2016	HS	12	1	0	0	163360	0
19	2016	HS	13	1	0	86315	46883	1
20	2016	SEN	13	1	0	491019	156514	1
21	2016	HS	14	1	0	215306	0	0
22	2016	HS	15	1	0	305747	33399	1
23	2016	SEN	15	1	0	392178	0	1
24	2016	HS	16	1	0	142863	181312	-1
25	2016	HS	17	1	0	172153	27417	1
26	2016	SEN	17	1	0	374349	193958	1
27	2016	HS	18	1	0	156163	23273	1
28	2016	HS	19	1	0	270334	64801	1
29	2016	SEN	19	1	0	329477	196613	1
30	2016	HS	20	1	0	114001	39507	1
31	2016	HS	21	1	0	134810	55978	1
32	2016	SEN	21	1	0	242840	265864	0
33	2016	HS	22	1	0	148289	51046	1
34	2016	HS	23	1	0	0	250306	-1
35	2016	SEN	23	1	0	94350	249661	-1
36	2016	HS	24	1	0	154724	0	0
37	2016	HS	25	1	0	142423	53153	1
38	2016	SEN	25	1	0	422259	300883	0
39	2016	HS	26	1	0	42615	80795	-1
40	2016	HS	27	1	0	126096	0	0
41	2016	SEN	27	1	0	368770	263133	0
42	2016	HS	28	1	0	136547	58641	1
43	2016	HS	29	1	0	130655	73578	1
44	2016	SEN	29	1	0	39600	275177	0
45	2016	HS	30	1	0	95996	0	0
46	2016	HS	31	1	0	62404	35454	1
47	2016	SEN	31	1	0	167574	109238	1
48	2016	HS	32	1	0	89195	40791	1
49	2016	HS	33	1	0	56086	84000	-1
50	2016	SEN	33	1	0	177971	0	1
51	2016	HS	34	1	0	45305	123959	0
52	2016	HS	35	1	0	147071	177450	0
53	2016	SEN	35	1	0	234910	0	0
54	2016	HS	36	1	0	6221	142594	-1
55	2016	HS	37	1	0	57485	0	0
56	2016	SEN	37	1	0	172455	228480	-1
57	2016	HS	38	1	0	158832	174748	0
58	2016	HS	39	1	0	149668	0	0
59	2016	SEN	39	1	0	258686	155053	0
60	2016	HS	40	1	0	74589	76537	-1
61	2016	HS	41	1	0	223467	134847	1
62	2016	HS	42	1	0	130800	166872	-1
63	2016	HS	43	1	0	212372	0	0
64	2016	HS	44	1	0	109309	76625	1
65	2016	HS	45	1	0	221756	111971	1
66	2016	HS	46	1	0	155174	0	1
67	2016	HS	47	1	0	124864	0	0
68	2016	HS	48	1	0	87321	48922	0
69	2016	HS	49	1	0	82964	35533	1
70	2016	HS	50	1	0	158967	54016	1
71	2016	HS	51	1	0	110036	0	1
72	2016	HS	52	1	0	89730	0	0
73	2016	HS	53	1	0	101916	0	1
74	2016	HS	54	1	0	146723	33119	1
75	2016	HS	55	1	0	37423	156992	-1
76	2016	HS	56	1	0	132210	0	1
77	2016	HS	57	1	0	93339	55577	1
78	2016	HS	58	1	0	105170	34449	1
79	2016	HS	59	1	0	77324	0	1
80	2016	HS	60	1	0	77404	64710	-1
81	2016	HS	61	1	0	90663	46924	1
82	2016	HS	62	1	0	123699	27628	1
83	2016	HS	63	1	0	89134	25680	1
84	2016	HS	64	1	0	86419	31300	1
85	2016	HS	65	1	0	79654	69941	-1
86	2016	HS	66	1	0	105336	89308	-1
87	2016	HS	67	1	0	60996	107654	-1
88	2016	HS	68	1	0	75231	114210	0
89	2016	HS	69	1	0	69640	32324	1
90	2016	HS	70	1	0	107389	53805	1
91	2016	HS	71	1	0	0	216098	0
92	2016	HS	72	1	0	71332	98335	-1
93	2016	HS	73	1	0	65662	144653	-1
94	2016	HS	74	1	0	89362	114477	-1
95	2016	HS	75	1	0	50371	81302	-1
96	2016	HS	76	1	0	0	190954	-1
97	2016	HS	77	1	0	88344	121140	-1
98	2016	HS	78	1	0	145850	65134	0
99	2016	HS	79	1	0	114080	60827	1
100	2016	HS	80	1	0	108655	30917	1
101	1982	HS	1	-1	-1	0	80108	-1
102	1986	HS	1	-1	-1	31211	77595	-1
103	1990	HS	1	-1	-1	0	68755	-1
104	2002	HS	1	-1	-1	0	52659	0
105	2006	HS	1	-1	-1	99626	0	1
106	1970	HS	2	-1	-1	41730	45549	-1
107	1982	HS	2	-1	-1	60610	0	0
108	1990	HS	2	-1	-1	71091	0	1
109	2002	HS	2	-1	-1	34524	0	0
110	2006	HS	2	-1	-1	0	95723	-1
111	1970	SEN	2	-1	-1	46328	88785	-1
112	1974	SEN	2	-1	-1	0	97704	-1
113	1982	SEN	2	-1	-1	0	79790	0
114	1986	SEN	2	-1	-1	0	84580	0
115	1990	SEN	2	-1	-1	126552	107864	1
116	2002	SEN	2	-1	-1	0	80079	0
117	2006	SEN	2	-1	-1	187035	97611	0
118	1974	HS	3	-1	-1	41972	0	0
119	1986	HS	3	-1	-1	44309	58399	0
120	2002	HS	3	-1	-1	0	78225	0
121	2006	HS	3	-1	-1	56101	87758	-1
122	1970	HS	4	-1	-1	30574	54908	-1
123	1974	HS	4	-1	-1	0	36820	0
124	1982	HS	4	-1	-1	64904	28121	1
125	1990	HS	4	-1	-1	0	38582	0
126	2002	HS	4	-1	-1	45722	91022	-1
127	2006	HS	4	-1	-1	57401	96958	0
128	1970	SEN	4	-1	-1	67412	0	0
129	1974	SEN	4	-1	-1	103969	0	0
130	1982	SEN	4	-1	-1	84565	0	0
131	1986	SEN	4	-1	-1	82733	150060	-1
132	1990	SEN	4	-1	-1	125573	123066	-1
133	2002	SEN	4	-1	-1	92786	0	0
134	1970	HS	5	-1	-1	50110	0	1
135	1974	HS	5	-1	-1	45873	0	0
136	1982	HS	5	-1	-1	0	48810	0
137	1986	HS	5	-1	-1	46289	0	0
138	1990	HS	5	-1	-1	49682	82757	-1
139	2002	HS	5	-1	-1	37277	0	0
140	2006	HS	5	-1	-1	48325	0	0
141	1970	HS	6	-1	-1	0	58459	-1
142	1974	HS	6	-1	-1	64472	27665	1
143	1982	HS	6	-1	-1	78356	0	0
144	1986	HS	6	-1	-1	72017	36167	1
145	1990	HS	6	-1	-1	61721	0	1
146	2002	HS	6	-1	-1	0	37375	0
147	2006	HS	6	-1	-1	106589	43864	0
148	1970	SEN	6	-1	-1	0	49869	0
149	1974	SEN	6	-1	-1	0	30727	0
150	1982	SEN	6	-1	-1	0	113444	-1
151	1990	SEN	6	-1	-1	0	95380	0
152	2006	SEN	6	-1	-1	115628	71051	0
153	1970	HS	7	-1	-1	41311	0	0
154	1974	HS	7	-1	-1	60380	33842	0
155	1982	HS	7	-1	-1	85225	37440	1
156	1986	HS	7	-1	-1	0	38490	0
157	1990	HS	7	-1	-1	0	82862	0
158	1970	HS	8	-1	-1	0	25936	0
159	1974	HS	8	-1	-1	0	41353	0
160	1986	HS	8	-1	-1	43831	73606	0
161	1990	HS	8	-1	-1	0	94722	-1
162	1970	SEN	8	-1	-1	157329	0	0
163	1982	SEN	8	-1	-1	124892	0	1
164	1986	SEN	8	-1	-1	79117	13189	0
165	1990	SEN	8	-1	-1	28946	14941	0
166	2002	SEN	8	-1	-1	158999	0	1
167	2006	SEN	8	-1	-1	179556	50670	0
168	1974	HS	9	-1	-1	47758	0	0
169	1986	HS	9	-1	-1	53553	65154	-1
170	1990	HS	9	-1	-1	52659	63672	-1
171	2002	HS	9	-1	-1	58883	0	1
172	1970	HS	10	-1	-1	40556	0	0
173	1974	HS	10	-1	-1	64817	24983	1
174	1982	HS	10	-1	-1	65635	44889	0
175	1990	HS	10	-1	-1	69138	0	1
176	2006	HS	10	-1	-1	46858	84455	-1
177	1970	SEN	10	-1	-1	0	51791	0
178	1974	SEN	10	-1	-1	106410	0	1
179	1982	SEN	10	-1	-1	105813	77230	0
180	1986	SEN	10	-1	-1	124290	50179	1
181	1990	SEN	10	-1	-1	111253	72390	1
182	2002	SEN	10	-1	-1	0	46056	0
183	2006	SEN	10	-1	-1	136846	49638	0
184	1970	HS	11	-1	-1	0	25960	0
185	1974	HS	11	-1	-1	63942	0	1
186	2002	HS	11	-1	-1	0	29741	0
187	2006	HS	11	-1	-1	69054	0	0
188	1970	HS	12	-1	-1	23352	0	0
189	1974	HS	12	-1	-1	63147	44841	1
190	1982	HS	12	-1	-1	95875	0	1
191	1990	HS	12	-1	-1	82766	0	1
192	2002	HS	12	-1	-1	72166	0	0
193	2006	HS	12	-1	-1	0	17020	0
194	1970	SEN	12	-1	-1	98964	0	0
195	1974	SEN	12	-1	-1	0	66142	-1
196	1982	SEN	12	-1	-1	0	76327	0
197	1986	SEN	12	-1	-1	90911	71464	1
198	1990	SEN	12	-1	-1	106857	73912	1
199	2002	SEN	12	-1	-1	72034	0	0
200	1970	HS	13	-1	-1	0	24803	0
201	1974	HS	13	-1	-1	46738	13449	1
202	1990	HS	13	-1	-1	52860	13682	0
203	2002	HS	13	-1	-1	0	15278	0
204	1970	HS	14	-1	-1	42967	0	1
205	1974	HS	14	-1	-1	49456	12712	0
206	1990	HS	14	-1	-1	0	22593	0
207	2002	HS	14	-1	-1	102373	0	0
208	1970	SEN	14	-1	-1	0	109925	-1
209	1974	SEN	14	-1	-1	93270	0	1
210	1990	SEN	14	-1	-1	0	135369	-1
211	2002	SEN	14	-1	-1	0	175369	-1
212	1970	HS	15	-1	-1	0	18493	0
213	1974	HS	15	-1	-1	0	26877	0
214	1982	HS	15	-1	-1	40744	78816	-1
215	1986	HS	15	-1	-1	38817	80500	-1
216	1990	HS	15	-1	-1	61725	75624	-1
217	2006	HS	15	-1	-1	73466	89039	-1
218	1974	HS	16	-1	-1	32315	0	1
219	1986	HS	16	-1	-1	66498	0	1
220	1990	HS	16	-1	-1	57557	0	1
221	2002	HS	16	-1	-1	0	11634	0
222	1970	SEN	16	-1	-1	62640	0	0
223	1974	SEN	16	-1	-1	90434	48718	1
224	1982	SEN	16	-1	-1	94983	76751	1
225	1990	SEN	16	-1	-1	72796	0	0
226	1970	HS	17	-1	-1	47469	0	1
227	1974	HS	17	-1	-1	44847	23655	1
228	1986	HS	17	-1	-1	0	25069	0
229	1990	HS	17	-1	-1	0	26572	0
230	1970	HS	18	-1	-1	32446	16167	1
231	1974	HS	18	-1	-1	56779	17631	1
232	1982	HS	18	-1	-1	51565	0	1
233	1986	HS	18	-1	-1	43241	0	0
234	1990	HS	18	-1	-1	65654	0	1
235	1970	SEN	18	-1	-1	0	49959	0
236	1974	SEN	18	-1	-1	0	57910	0
237	1982	SEN	18	-1	-1	0	99540	0
238	1986	SEN	18	-1	-1	0	62659	0
239	1990	SEN	18	-1	-1	0	65499	0
240	2006	SEN	18	-1	-1	59187	0	0
241	1970	HS	19	-1	-1	0	16619	0
242	1974	HS	19	-1	-1	0	21178	0
243	1982	HS	19	-1	-1	0	29059	0
244	1986	HS	19	-1	-1	56809	20010	0
245	1970	HS	20	-1	-1	26835	0	1
246	1974	HS	20	-1	-1	31757	56421	-1
247	1982	HS	20	-1	-1	34102	72091	-1
248	2002	HS	20	-1	-1	53304	0	1
249	1970	SEN	20	-1	-1	67366	0	0
250	1974	SEN	20	-1	-1	94837	0	0
251	1990	SEN	20	-1	-1	73610	0	1
252	2006	SEN	20	-1	-1	84459	0	0
253	1986	HS	21	-1	-1	59042	21137	1
254	2002	HS	21	-1	-1	0	42808	0
255	1970	HS	22	-1	-1	0	68723	0
256	1974	HS	22	-1	-1	29903	57263	-1
257	1982	HS	22	-1	-1	41587	0	0
258	1986	HS	22	-1	-1	0	57684	0
259	1990	HS	22	-1	-1	38382	0	0
260	2002	HS	22	-1	-1	48543	0	0
261	1970	SEN	22	-1	-1	0	68068	0
262	1974	SEN	22	-1	-1	0	56315	0
263	1982	SEN	22	-1	-1	146511	0	0
264	1990	SEN	22	-1	-1	0	62193	0
265	2002	SEN	22	-1	-1	68282	0	0
266	2006	SEN	22	-1	-1	0	18581	0
267	1970	HS	23	-1	-1	46470	0	1
268	1974	HS	23	-1	-1	46714	0	1
269	1982	HS	23	-1	-1	0	19751	0
270	1990	HS	23	-1	-1	43553	25895	1
271	2002	HS	23	-1	-1	42461	0	1
272	1970	HS	24	-1	-1	0	42917	0
273	1974	HS	24	-1	-1	0	29475	0
274	1982	HS	24	-1	-1	51373	0	1
275	1986	HS	24	-1	-1	49729	0	1
276	1990	HS	24	-1	-1	0	32887	0
277	2006	HS	24	-1	-1	75769	0	0
278	1970	SEN	24	-1	-1	61705	0	0
279	1974	SEN	24	-1	-1	47378	0	0
280	1982	SEN	24	-1	-1	0	20404	0
281	1986	SEN	24	-1	-1	49601	0	1
282	1990	SEN	24	-1	-1	39644	0	1
283	2002	SEN	24	-1	-1	0	29124	0
284	1974	HS	25	-1	-1	45732	0	0
285	1982	HS	25	-1	-1	0	25677	0
286	1986	HS	25	-1	-1	0	18941	0
287	1990	HS	25	-1	-1	52725	0	1
288	2002	HS	25	-1	-1	42034	68949	-1
289	2006	HS	25	-1	-1	0	79594	0
290	1970	HS	26	-1	-1	39881	0	0
291	1974	HS	26	-1	-1	35963	27599	0
292	1982	HS	26	-1	-1	57205	0	1
293	1990	HS	26	-1	-1	0	27409	0
294	2002	HS	26	-1	-1	36069	48540	0
295	2006	HS	26	-1	-1	38990	54703	-1
296	1970	SEN	26	-1	-1	0	47963	0
297	1974	SEN	26	-1	-1	83998	29949	1
298	1990	SEN	26	-1	-1	0	30984	0
299	2002	SEN	26	-1	-1	123814	0	1
300	1970	HS	27	-1	-1	0	20903	0
301	1974	HS	27	-1	-1	40973	22842	1
302	1982	HS	27	-1	-1	52606	26064	0
303	1986	HS	27	-1	-1	58099	0	1
304	1990	HS	27	-1	-1	48324	0	0
305	2002	HS	27	-1	-1	77212	0	0
306	1970	HS	28	-1	-1	26419	0	0
307	1974	HS	28	-1	-1	0	50163	-1
308	1982	HS	28	-1	-1	78534	31973	1
309	1986	HS	28	-1	-1	75112	29025	1
310	1990	HS	28	-1	-1	80558	32097	1
311	2002	HS	28	-1	-1	43555	27945	1
312	1970	SEN	28	-1	-1	94251	0	1
313	1974	SEN	28	-1	-1	73959	21876	1
314	2002	SEN	28	-1	-1	0	64627	0
315	2006	SEN	28	-1	-1	129151	0	0
316	1970	HS	29	-1	-1	0	37599	-1
317	1974	HS	29	-1	-1	27372	0	0
318	1986	HS	29	-1	-1	0	71790	-1
319	2002	HS	29	-1	-1	0	63011	0
320	2006	HS	29	-1	-1	35163	76719	-1
321	1970	HS	30	-1	-1	39878	0	0
322	1974	HS	30	-1	-1	0	30694	-1
323	1990	HS	30	-1	-1	39414	23793	1
324	1970	SEN	30	-1	-1	0	39964	0
325	1974	SEN	30	-1	-1	90246	36288	0
326	1982	SEN	30	-1	-1	88668	0	1
327	1986	SEN	30	-1	-1	80926	0	1
328	2006	SEN	30	-1	-1	93436	38340	0
329	1974	HS	31	-1	-1	29441	0	0
330	1982	HS	31	-1	-1	51815	0	0
331	2002	HS	31	-1	-1	41050	0	1
332	2006	HS	31	-1	-1	45004	0	1
333	1970	HS	32	-1	-1	0	40446	0
334	1974	HS	32	-1	-1	0	32963	-1
335	1990	HS	32	-1	-1	32457	71592	-1
336	1970	SEN	32	-1	-1	90365	0	1
337	1974	SEN	32	-1	-1	0	30060	0
338	1990	SEN	32	-1	-1	51086	80788	-1
339	1970	HS	33	-1	-1	20365	0	0
340	1974	HS	33	-1	-1	33094	38611	1
341	1986	HS	33	-1	-1	0	41197	0
342	1974	HS	34	-1	-1	35416	0	0
343	1986	HS	34	-1	-1	30681	72220	-1
344	2002	HS	34	-1	-1	0	48625	0
345	2006	HS	34	-1	-1	0	56880	-1
346	1970	SEN	34	-1	-1	0	189121	0
347	1974	SEN	34	-1	-1	70849	0	0
348	1982	SEN	34	-1	-1	101708	50320	1
349	1986	SEN	34	-1	-1	93410	48421	1
350	1970	HS	35	-1	-1	0	60726	-1
351	1974	HS	35	-1	-1	44042	39956	0
352	1986	HS	35	-1	-1	61423	0	1
353	1990	HS	35	-1	-1	60126	29677	1
354	2002	HS	35	-1	-1	72394	0	1
355	1970	HS	36	-1	-1	44830	46423	-1
356	1974	HS	36	-1	-1	49585	23269	1
357	1982	HS	36	-1	-1	47932	60702	0
358	1986	HS	36	-1	-1	0	77132	-1
359	1990	HS	36	-1	-1	0	66081	-1
360	2006	HS	36	-1	-1	34863	55712	-1
361	1970	SEN	36	-1	-1	0	132206	-1
362	1974	SEN	36	-1	-1	0	124692	-1
363	1986	SEN	36	-1	-1	115868	72904	1
364	2002	SEN	36	-1	-1	53280	0	0
365	2006	SEN	36	-1	-1	85706	0	0
366	1970	HS	37	-1	-1	54995	0	1
367	1982	HS	37	-1	-1	38574	0	0
368	1986	HS	37	-1	-1	25736	0	0
369	1990	HS	37	-1	-1	44773	0	0
370	2006	HS	37	-1	-1	58305	78943	-1
371	1970	HS	38	-1	-1	0	19630	0
372	1982	HS	38	-1	-1	0	58558	-1
373	1990	HS	38	-1	-1	0	50496	0
374	2002	HS	38	-1	-1	0	64757	-1
375	2006	HS	38	-1	-1	46926	0	0
376	1970	SEN	38	-1	-1	52054	0	0
377	1974	SEN	38	-1	-1	84191	119402	0
378	1982	SEN	38	-1	-1	71554	0	0
379	2002	SEN	38	-1	-1	0	132577	-1
380	1970	HS	39	-1	-1	21083	0	0
381	1974	HS	39	-1	-1	0	16316	0
382	1982	HS	39	-1	-1	43392	0	1
383	1986	HS	39	-1	-1	44009	28787	1
384	1970	HS	40	-1	-1	0	9736	0
385	1982	HS	40	-1	-1	65110	25880	1
