"","Year","Quarter","Income"
"1",1965,"I",553.1
"2",1965,"II",562.7
"3",1965,"III",577.1
"4",1965,"IV",590.4
"5",1966,"I",603.1
"6",1966,"II",613
"7",1966,"III",626.3
"8",1966,"IV",639.8
"9",1967,"I",650.6
"10",1967,"II",657.7
"11",1967,"III",671.6
"12",1967,"IV",683.1
"13",1968,"I",702.6
"14",1968,"II",722.6
"15",1968,"III",741
"16",1968,"IV",756.7
"17",1969,"I",771.3
"18",1969,"II",790.4
"19",1969,"III",812
"20",1969,"IV",827.3
"21",1970,"I",841.8
"22",1970,"II",859.6
"23",1970,"III",874
"24",1970,"IV",882.9
"25",1971,"I",903
"26",1971,"II",926.4
"27",1971,"III",940.5
"28",1971,"IV",958.7
"29",1972,"I",986
"30",1972,"II",1003.5
"31",1972,"III",1029.2
"32",1972,"IV",1075.7
"33",1973,"I",1093.3
"34",1973,"II",1122.6
"35",1973,"III",1150
"36",1973,"IV",1188.2
"37",1974,"I",1204.4
"38",1974,"II",1230.4
"39",1974,"III",1266.6
"40",1974,"IV",1296
"41",1975,"I",1315.9
"42",1975,"II",1347.5
"43",1975,"III",1384.1
"44",1975,"IV",1420
"45",1976,"I",1453
"46",1976,"II",1477.4
"47",1976,"III",1513.8
"48",1976,"IV",1549.6
"49",1977,"I",1580
"50",1977,"II",1628.3
"51",1977,"III",1675
"52",1977,"IV",1735
"53",1978,"I",1774.9
"54",1978,"II",1833.9
"55",1978,"III",1887.3
"56",1978,"IV",1942.7
"57",1979,"I",1999.4
"58",1979,"II",2039.9
"59",1979,"III",2105.4
"60",1979,"IV",2168.2
"61",1980,"I",2230.8
"62",1980,"II",2256.8
"63",1980,"III",2337.2
"64",1980,"IV",2445.1
"65",1981,"I",2503.9
"66",1981,"II",2551.4
"67",1981,"III",2647.8
"68",1981,"IV",2682.9
"69",1982,"I",2715.1
"70",1982,"II",2758.6
"71",1982,"III",2799.8
"72",1982,"IV",2844.5
"73",1983,"I",2881.8
"74",1983,"II",2931.9
"75",1983,"III",2991.1
"76",1983,"IV",3076.3
"77",1984,"I",3167.4
"78",1984,"II",3251.2
"79",1984,"III",3327
"80",1984,"IV",3381.6
"81",1985,"I",3446.4
"82",1985,"II",3486.6
"83",1985,"III",3533.8
"84",1985,"IV",3598.6
"85",1986,"I",3658.5
"86",1986,"II",3700.7
"87",1986,"III",3750.6
"88",1986,"IV",3793
"89",1987,"I",3851.1
"90",1987,"II",3911.2
"91",1987,"III",3982.7
"92",1987,"IV",4078.5
"93",1988,"I",4153.8
"94",1988,"II",4227.8
"95",1988,"III",4318.9
"96",1988,"IV",4404.9
"97",1989,"I",4532.7
"98",1989,"II",4587.6
"99",1989,"III",4643
"100",1989,"IV",4716.1
"101",1990,"I",4813.2
"102",1990,"II",4888.9
"103",1990,"III",4950.6
"104",1990,"IV",4972.9
"105",1991,"I",4983.8
"106",1991,"II",5043
"107",1991,"III",5093.7
"108",1991,"IV",5173.1
"109",1992,"I",5290.2
"110",1992,"II",5389.1
"111",1992,"III",5449.6
"112",1992,"IV",5523.3
"113",1993,"I",5557.6
"114",1993,"II",5626.5
"115",1993,"III",5666.9
"116",1993,"IV",5745
"117",1994,"I",5796.7
"118",1994,"II",5904.1
"119",1994,"III",5969.9
"120",1994,"IV",6078.4
"121",1995,"I",6174.8
"122",1995,"II",6240.2
"123",1995,"III",6317
"124",1995,"IV",6391.8
"125",1996,"I",6508.9
"126",1996,"II",6639.4
"127",1996,"III",6714.6
"128",1996,"IV",6805.2
"129",1997,"I",6929.8
"130",1997,"II",7010.5
"131",1997,"III",7123.8
"132",1997,"IV",7258.6
"133",1998,"I",7420.5
"134",1998,"II",7548.1
"135",1998,"III",7655.4
"136",1998,"IV",7750.8
"137",1999,"I",7838.1
"138",1999,"II",7908.3
"139",1999,"III",8015.5
"140",1999,"IV",8191.7
"141",2000,"I",8445.3
"142",2000,"II",8575.3
"143",2000,"III",8724.9
"144",2000,"IV",8802.8
"145",2001,"I",8961.2
"146",2001,"II",8997.9
"147",2001,"III",8990.7
"148",2001,"IV",9016.5
"149",2002,"I",9057.7
"150",2002,"II",9139.9
