"","year","chamber","District","Prez_Dem","Prez_Repub","Gub_Dem","Gub_Repub","US_Sen_Dem","US_Sen_Repub","US_Sen2_Dem","US_Sen2_Repub"
"1",1974,"SEN",1,NA,NA,90708,93181,104214,71278,NA,NA
"2",1974,"SEN",2,NA,NA,97470,90552,121507,61197,NA,NA
"3",1974,"SEN",3,NA,NA,91348,81935,110013,58407,NA,NA
"4",1974,"SEN",4,NA,NA,89576,83278,114066,53440,NA,NA
"5",1974,"SEN",5,NA,NA,88663,46066,96483,22445,NA,NA
"6",1974,"SEN",6,NA,NA,92414,69671,109551,43682,NA,NA
"7",1974,"SEN",7,NA,NA,89056,81101,115880,49564,NA,NA
"8",1974,"SEN",8,NA,NA,83496,54240,97891,35179,NA,NA
"9",1974,"SEN",9,NA,NA,100520,68614,120691,44275,NA,NA
"10",1974,"SEN",10,NA,NA,83158,83794,110335,52076,NA,NA
"11",1974,"SEN",11,NA,NA,78003,60694,98180,37381,NA,NA
"12",1974,"SEN",12,NA,NA,75715,78384,102584,49268,NA,NA
"13",1974,"SEN",13,NA,NA,76223,84321,98087,55963,NA,NA
"14",1974,"SEN",14,NA,NA,69529,57260,82284,36271,NA,NA
"15",1974,"SEN",15,NA,NA,64566,68738,80957,49589,NA,NA
"16",1974,"SEN",16,NA,NA,66831,71123,75342,58543,NA,NA
"17",1974,"SEN",17,NA,NA,79357,83490,95963,60419,NA,NA
"18",1974,"SEN",18,NA,NA,76979,80306,96098,58370,NA,NA
"19",1974,"SEN",19,NA,NA,78059,95890,93128,76981,NA,NA
"20",1974,"SEN",20,NA,NA,79495,61572,89200,49588,NA,NA
"21",1974,"SEN",21,NA,NA,64331,104170,73674,91313,NA,NA
"22",1974,"SEN",22,NA,NA,115115,84044,134221,62590,NA,NA
"23",1974,"SEN",23,NA,NA,88551,57826,95465,47616,NA,NA
"24",1974,"SEN",24,NA,NA,53869,26389,53855,21822,NA,NA
"25",1974,"SEN",25,NA,NA,63624,97850,72513,85863,NA,NA
"26",1974,"SEN",26,NA,NA,69175,46728,74789,38800,NA,NA
"27",1974,"SEN",27,NA,NA,65920,80064,77568,66006,NA,NA
"28",1974,"SEN",28,NA,NA,66535,33412,70356,26419,NA,NA
"29",1974,"SEN",29,NA,NA,74580,17409,72890,14313,NA,NA
"30",1974,"SEN",30,NA,NA,94523,41404,97162,33740,NA,NA
"31",1974,"SEN",31,NA,NA,75290,73967,89753,56451,NA,NA
"32",1974,"SEN",32,NA,NA,61283,47736,70017,36510,NA,NA
"33",1974,"SEN",33,NA,NA,67270,78459,79766,63584,NA,NA
"34",1974,"SEN",34,NA,NA,71568,75309,87317,55875,NA,NA
"35",1974,"SEN",35,NA,NA,69451,102880,82546,85431,NA,NA
"36",1974,"SEN",36,NA,NA,77824,133038,99553,106540,NA,NA
"37",1974,"SEN",37,NA,NA,69712,68541,77090,57480,NA,NA
"38",1974,"SEN",38,NA,NA,82706,125110,98319,103897,NA,NA
"39",1974,"SEN",39,NA,NA,80923,99649,96074,80020,NA,NA
"40",1974,"SEN",40,NA,NA,60036,55211,67923,44422,NA,NA
"41",1974,"HS",1,NA,NA,49033,45113,54624,35815,NA,NA
"42",1974,"HS",2,NA,NA,51300,41867,58658,30320,NA,NA
"43",1974,"HS",3,NA,NA,41675,48068,49590,35463,NA,NA
"44",1974,"HS",4,NA,NA,43442,38605,54781,25016,NA,NA
"45",1974,"HS",5,NA,NA,42013,38264,50049,27862,NA,NA
"46",1974,"HS",6,NA,NA,49335,43671,59964,30545,NA,NA
"47",1974,"HS",7,NA,NA,43383,51633,55927,35472,NA,NA
"48",1974,"HS",8,NA,NA,46134,44673,59285,28424,NA,NA
"49",1974,"HS",9,NA,NA,46470,48685,62849,30877,NA,NA
"50",1974,"HS",10,NA,NA,42522,50909,60133,31068,NA,NA
"51",1974,"HS",11,NA,NA,46534,30192,55747,18496,NA,NA
"52",1974,"HS",12,NA,NA,55694,51289,72613,33388,NA,NA
"53",1974,"HS",13,NA,NA,44826,17325,48078,10887,NA,NA
"54",1974,"HS",14,NA,NA,44295,22792,49965,14341,NA,NA
"55",1974,"HS",15,NA,NA,39201,31448,47926,20838,NA,NA
"56",1974,"HS",16,NA,NA,39703,17027,41898,8112,NA,NA
"57",1974,"HS",17,NA,NA,48960,29039,54585,14333,NA,NA
"58",1974,"HS",18,NA,NA,52599,35487,60123,21820,NA,NA
"59",1974,"HS",19,NA,NA,39815,34184,49428,21862,NA,NA
"60",1974,"HS",20,NA,NA,42737,49562,58038,31232,NA,NA
"61",1974,"HS",21,NA,NA,40421,34232,52297,20844,NA,NA
"62",1974,"HS",22,NA,NA,37829,51600,55529,32804,NA,NA
"63",1974,"HS",23,NA,NA,37886,26784,47055,16464,NA,NA
