"","year","chamber","District","Dem","Repub","incumbency","incumbentparty","dummyparty"
"1",2016,"HS",1,0,197166,1,-1,-1
"2",2016,"SEN",1,61142,465610,1,-1,0
"3",2016,"HS",2,32781,0,1,1,1
"4",2016,"HS",3,109521,178787,1,-1,0
"5",2016,"SEN",3,299402,0,0,0,1
"6",2016,"HS",4,176279,100170,0,0,0
"7",2016,"HS",5,32881,181725,1,-1,0
"8",2016,"SEN",5,48098,225317,1,1,0
"9",2016,"HS",6,35590,238828,0,0,0
"10",2016,"HS",7,211797,90027,1,1,0
"11",2016,"SEN",7,329291,168113,1,1,0
"12",2016,"HS",8,104552,78848,1,1,0
"13",2016,"HS",9,208230,96009,1,1,0
"14",2016,"SEN",9,472266,0,0,0,1
"15",2016,"HS",10,280414,0,1,1,1
"16",2016,"HS",11,110804,62896,1,1,0
"17",2016,"SEN",11,418924,0,0,0,1
"18",2016,"HS",12,0,163360,0,0,-1
"19",2016,"HS",13,86315,46883,1,1,0
"20",2016,"SEN",13,491019,156514,1,1,0
"21",2016,"HS",14,215306,0,0,0,1
"22",2016,"HS",15,305747,33399,1,1,0
"23",2016,"SEN",15,392178,0,1,1,1
"24",2016,"HS",16,142863,181312,1,-1,0
"25",2016,"HS",17,172153,27417,1,1,0
"26",2016,"SEN",17,374349,193958,1,1,0
"27",2016,"HS",18,156163,23273,1,1,0
"28",2016,"HS",19,270334,64801,1,1,0
"29",2016,"SEN",19,329477,196613,1,1,0
"30",2016,"HS",20,114001,39507,1,1,0
"31",2016,"HS",21,134810,55978,1,1,0
"32",2016,"SEN",21,242840,265864,0,0,0
"33",2016,"HS",22,148289,51046,1,1,0
"34",2016,"HS",23,0,250306,1,-1,-1
"35",2016,"SEN",23,94350,249661,1,-1,0
"36",2016,"HS",24,154724,0,0,0,1
"37",2016,"HS",25,142423,53153,1,1,0
"38",2016,"SEN",25,422259,300883,0,0,0
"39",2016,"HS",26,42615,80795,1,-1,0
"40",2016,"HS",27,126096,0,0,0,1
"41",2016,"SEN",27,368770,263133,0,0,0
"42",2016,"HS",28,136547,58641,1,1,0
"43",2016,"HS",29,130655,73578,1,1,0
"44",2016,"SEN",29,39600,275177,0,0,0
"45",2016,"HS",30,95996,0,0,0,1
"46",2016,"HS",31,62404,35454,1,1,0
"47",2016,"SEN",31,167574,109238,1,1,0
"48",2016,"HS",32,89195,40791,1,1,0
"49",2016,"HS",33,56086,84000,1,-1,0
"50",2016,"SEN",33,177971,0,1,1,1
"51",2016,"HS",34,45305,123959,0,0,0
"52",2016,"HS",35,147071,177450,0,0,0
"53",2016,"SEN",35,234910,0,0,0,1
"54",2016,"HS",36,6221,142594,1,-1,0
"55",2016,"HS",37,57485,0,0,0,1
"56",2016,"SEN",37,172455,228480,1,-1,0
"57",2016,"HS",38,158832,174748,0,0,0
"58",2016,"HS",39,149668,0,0,0,1
"59",2016,"SEN",39,258686,155053,0,0,0
"60",2016,"HS",40,74589,76537,1,-1,0
"61",2016,"HS",41,223467,134847,1,1,0
"62",2016,"HS",42,130800,166872,1,-1,0
"63",2016,"HS",43,212372,0,0,0,1
"64",2016,"HS",44,109309,76625,1,1,0
"65",2016,"HS",45,221756,111971,1,1,0
"66",2016,"HS",46,155174,0,1,1,1
"67",2016,"HS",47,124864,0,0,0,1
"68",2016,"HS",48,87321,48922,0,0,0
"69",2016,"HS",49,82964,35533,1,1,0
"70",2016,"HS",50,158967,54016,1,1,0
"71",2016,"HS",51,110036,0,1,1,1
"72",2016,"HS",52,89730,0,0,0,1
"73",2016,"HS",53,101916,0,1,1,1
"74",2016,"HS",54,146723,33119,1,1,0
"75",2016,"HS",55,37423,156992,1,-1,0
"76",2016,"HS",56,132210,0,1,1,1
"77",2016,"HS",57,93339,55577,1,1,0
"78",2016,"HS",58,105170,34449,1,1,0
"79",2016,"HS",59,77324,0,1,1,1
"80",2016,"HS",60,77404,64710,1,-1,0
"81",2016,"HS",61,90663,46924,1,1,0
"82",2016,"HS",62,123699,27628,1,1,0
"83",2016,"HS",63,89134,25680,1,1,0
"84",2016,"HS",64,86419,31300,1,1,0
"85",2016,"HS",65,79654,69941,1,-1,0
"86",2016,"HS",66,105336,89308,1,-1,0
"87",2016,"HS",67,60996,107654,1,-1,0
"88",2016,"HS",68,75231,114210,0,0,0
"89",2016,"HS",69,69640,32324,1,1,0
"90",2016,"HS",70,107389,53805,1,1,0
"91",2016,"HS",71,0,216098,0,0,-1
"92",2016,"HS",72,71332,98335,1,-1,0
"93",2016,"HS",73,65662,144653,1,-1,0
"94",2016,"HS",74,89362,114477,1,-1,0
"95",2016,"HS",75,50371,81302,1,-1,0
"96",2016,"HS",76,0,190954,1,-1,-1
"97",2016,"HS",77,88344,121140,1,-1,0
"98",2016,"HS",78,145850,65134,0,0,0
"99",2016,"HS",79,114080,60827,1,1,0
"100",2016,"HS",80,108655,30917,1,1,0
"101",1976,"HS",1,0,70276,0,0,-1
"102",1982,"HS",1,0,80108,1,-1,-1
"103",1984,"HS",1,0,109941,1,-1,-1
"104",1986,"HS",1,31211,77595,1,-1,0
"105",1990,"HS",1,0,68755,1,-1,-1
"106",1992,"HS",1,102093,61623,1,1,0
"107",1994,"HS",1,87749,0,1,1,1
"108",1996,"HS",1,87800,0,0,0,1
"109",1998,"HS",1,0,47662,0,0,-1
"110",2000,"HS",1,0,51753,0,0,-1
"111",2002,"HS",1,0,52659,0,0,-1
"112",2004,"HS",1,0,64587,0,0,-1
"113",2006,"HS",1,99626,0,1,1,1
"114",2008,"HS",1,137777,56870,0,0,0
"115",2012,"HS",1,0,116098,0,0,-1
"116",2014,"HS",1,25186,32345,1,-1,0
"117",1976,"SEN",1,106555,127451,1,1,0
"118",1980,"SEN",1,71041,0,0,0,1
"119",1992,"SEN",1,0,189095,0,0,-1
"120",1996,"SEN",1,125994,0,0,0,1
"121",2000,"SEN",1,144997,0,0,0,1
"122",2004,"SEN",1,141462,0,0,0,1
"123",2012,"SEN",1,150111,263256,0,0,0
"124",1976,"HS",2,74626,0,1,1,1
"125",1978,"HS",2,0,42101,0,0,-1
"126",1980,"HS",2,81884,36504,1,1,0
"127",1982,"HS",2,60610,0,0,0,1
"128",1988,"HS",2,104282,35200,1,1,0
"129",1990,"HS",2,71091,0,1,1,1
"130",1994,"HS",2,0,80604,0,0,-1
"131",1996,"HS",2,0,77827,1,-1,-1
"132",1998,"HS",2,50202,0,0,0,1
"133",2000,"HS",2,38281,104614,1,-1,0
"134",2002,"HS",2,34524,0,0,0,1
"135",2004,"HS",2,62643,115651,1,-1,0
"136",2006,"HS",2,0,95723,1,-1,-1
"137",2012,"HS",2,65302,0,0,0,1
"138",2014,"HS",2,66402,24501,0,0,0
"139",1974,"SEN",2,0,97704,1,-1,-1
"140",1978,"SEN",2,0,99119,0,0,-1
"141",1982,"SEN",2,0,79790,0,0,-1
"142",1986,"SEN",2,0,84580,0,0,-1
"143",1990,"SEN",2,126552,107864,1,1,0
"144",1994,"SEN",2,0,95275,0,0,-1
"145",1998,"SEN",2,137728,0,0,0,1
"146",2002,"SEN",2,0,80079,0,0,-1
"147",2006,"SEN",2,187035,97611,0,0,0
"148",2014,"SEN",2,153358,102706,0,0,0
"149",1974,"HS",3,41972,0,0,0,1
"150",1978,"HS",3,36544,69556,1,-1,0
"151",1980,"HS",3,0,75547,0,0,-1
"152",1984,"HS",3,37305,90249,1,-1,0
"153",1986,"HS",3,44309,58399,0,0,0
"154",1988,"HS",3,0,79681,1,-1,-1
"155",1992,"HS",3,0,85685,0,0,-1
"156",1994,"HS",3,48796,84340,1,-1,0
"157",1996,"HS",3,59159,94765,1,-1,0
"158",2000,"HS",3,52978,0,0,0,1
"159",2002,"HS",3,0,78225,0,0,-1
